,f_res
1854,32.47440424334217
14993,31.287861847687832
3967,34.80438479559724
1756,42.33528298003923
12887,50.733840570175644
2639,18.348184320526105
5107,70.50127267645598
6926,51.9654226000328
12059,45.456549957074394
2851,95.34545470026352
4944,10.783278038704186
6383,24.184460216634978
17562,25.877485928891932
10881,71.70254807885142
18787,53.11720082986301
9882,19.670290281792997
7328,21.745259975682057
8137,63.19099306072029
1214,72.15951624699268
19194,54.181374899498444
3359,22.17650868915123
4032,32.72473428463553
14756,46.28803155244345
15090,59.01469464463914
4411,91.1947375894026
5271,17.52838199549519
13839,29.703679536380672
9851,45.33074147860368
6153,46.28788366300624
2258,33.85652448199608
13426,24.721100177783352
8077,40.00202008649063
14787,46.29786985380645
18564,38.30668696193917
4756,60.16063573467288
