,f_res
1854,32.47440424334217
14993,31.287861847687832
3967,34.80438479559724
1756,42.33528298003923
12887,50.733840570175644
2639,18.348184320526105
5107,70.50127267645598
6926,51.9654226000328
12059,45.456549957074394
2851,95.34545470026352
4944,10.783278038704186
6383,24.184460216634978
17562,25.877485928891932
10881,71.70254807885142
18787,53.11720082986301
9882,19.670290281792997
7328,21.745259975682057
8137,63.19099306072029
1214,72.15951624699268
19194,54.181374899498444
3359,22.17650868915123
4032,32.72473428463553
14756,46.28803155244345
15090,59.01469464463914
4411,91.1947375894026
5271,17.52838199549519
13839,29.703679536380672
9851,45.33074147860368
6153,46.28788366300624
2258,33.85652448199608
13426,24.721100177783352
8077,40.00202008649063
14787,46.29786985380645
18564,38.30668696193917
4756,60.16063573467288
15,7.839016666011114
10414,24.049612061112338
8040,37.6086926255088
11570,32.42025018410561
4540,48.210637062789374
806,24.083857487744776
10616,32.11844930876956
12234,38.552356646513836
6611,52.43422452940445
19537,88.40063260520255
1731,16.368799215886302
16172,27.328771816530647
5740,34.4592817539774
17156,41.26533062996103
11043,56.58252403348582
9927,24.373520714906988
1557,36.384228520060724
8287,45.26157128293272
18119,35.75373363720214
10839,49.56763232190943
5665,17.787406370800664
5920,24.770651618598976
9688,35.57457464257303
14348,31.580693801751732
8329,65.82456739698333
7590,24.568000347810155
4092,37.752062857544615
5499,37.78199031933072
18283,35.050118986959234
8762,61.12824879709871
7093,16.66006316104474
7524,19.026488788528482
8994,35.82867234492509
9708,24.81448649095927
9737,49.877811930757346
8692,56.98369422045222
9657,27.08771621971849
7615,41.62663840619369
10636,40.955029947492406
9505,29.9934906438047
9245,16.63665320910429
3394,25.707513732759146
9241,36.09593441095548
235,78.23921852242646
17895,50.46880671266164
11512,14.433051773273732
10338,21.44903850152729
7109,26.324022780152735
7544,22.874595320792015
9934,40.24742046392538
594,28.89343593361648
7836,33.51486416502385
11358,35.21593359262253
18998,22.767549420438293
8721,37.315532771220084
